Anonymized Message,Valence1,Valence2,Arousal1,Arousal2
"Incredibly tired but excited cause I get to go home soon!!!  Granted, it's only two weeks but who cares!",6,7,6,7
"To one and all who have wished me a happy birthday, thank you for all the kind coments and fond wishes.",7,6,2,1
in idaho chillin with the fam for weekend.  love ya all!  * I am ninja material!...-even if i have to duck through things and takes extra second to squezz in small places :P,6,7,5,5
hmmm.. :),6,7,2,4
"Happy for someone, although hearts crying loud. Told meself this will happen sooner of later. You stupid f***...you followed your heart again! This is what you'll get for ignoring the truth. They say Truth will set you free.\ but they didnt say it'll also beat the heck out of yo' ass. Happy...but hurting. Still here...still here. FOR YOU! Tnx\""""",4,2,4,7
At least 15 dead as israeli forces attack Gaza aid ahips!!!!!!! i hhhhhhate israil,2,1,8,8
is livin the life,6,6,2,1
Some heart just get lucky sometimes <3,6,8,3,2
scooby doo would be a better show if they had guns,5,5,2,1
IT'S MY BIRTHDAY I'M FINALLY 14!,6,7,7,8
"Hi everybody! Just saying hi, real quick. bye now!",6,6,4,5
life is one big party when you're still young but who's gonna have your back when its all done... shaggy,5,4,2,3
Counting days...second by second...,5,5,1,3
back in semenyih!!,5,6,6,6
Thanks to everyone for the friendship and birthday wishes!,7,7,5,4
14 FINALLY!!!! lol,6,6,7,7
is in her garden planting new seeds... im sad to see the old ones die..but the beauties of the new growth will overwelm my saddness...time is all i can depend on,6,5,3,3
dam just when i was ganna go back to school,4,4,3,2
watchin Ferd dance lol luuuvvvvvv this show,6,6,4,3
THanks everybody !!!!!!!!!!!!,7,6,6,7
Got family pics done today got the wife her new phone and I took the Droid good day today,6,6,2,1
Back to class.....,5,5,1,3
I am really digging devin Moore #45...he's bein productive 2nite for the colts...I wonder what he can do in a real game,6,6,2,2
subway w/ my BFF <PERSON. <333.......oh & <PERSON> unfortuantely.,5,6,2,3
"Believes in God, re-post if you believe too. Please don't ignore, you are being tested. It says in the Bible, Deny me in front of everyone",5,4,2,4
Christmas Tree Time ON,6,5,3,3
Thanks for all the B-day wishes....i had a great day and a fabulous dinner.,7,7,3,2
i need a doomkal?,5,5,2,1
Guess what people. I'm in bed... won't be moving from here 'till Monday,5,5,2,3
"Dr. Phil's Personality Test -- My Result: The Vain, Self-Centered Leader. <URL>",5,5,1,1
Hmmmmm......,5,5,1,2
"Call the Nestle Crunch Hotline at <PHONE>, When you are asked if you want to continue in English or Spanish, just wait quietly for about 10 seconds and you will smile. Promise! Keep going and press 4. Listen to the options...then press 7. don't give it away if you comment on this!",5,6,2,4
is sick of the Dodgers' crap.  Why do they have to get my hopes up every year?  They're garbage.  Manny is garbage.  Their pitching is garbage.  They haven't been fun to watch for two months now.,3,3,3,3
is happy camp is over.  Thanks all for the birthday wishes!!!,7,7,6,6
Happy Grandparents Day to the best ama and ampa! With all his love- <PERSON>,7,7,5,4
Two more days till we strike at work. Im so ready for this.,6,6,3,1
absolutely hating homework and the fact that I left EVERYTHING to the last minute........ nice vacations though,4,3,3,3
Gettin my tattoo today so excited :),7,7,5,4
moving to forest lake!! YEAH,6,7,7,6
"crap, i totally forgotten that there is TA on coordinate geog tmr during the first period...",4,4,4,2
thinkin bout everything,5,5,2,1
I finally got a job!! WooHoo! =)=),7,7,7,7
"was asked by a pervert whether she was ugly, a virgin, singaporean and really fourteen years old. She would like to announce if she saw him on AuditionSEA again(or anywhere, actually), she would kick his butt. She is not joking.",4,4,3,4
rude tube is on!,5,6,6,4
(12r4-5r2+8r-15)+(7r4+5r2+2r-9)=...,5,5,1,3
<PERSON> tonight for some improv with <PERSON>.,5,5,1,1
"...... :) ..... :( ..... ,) ..... :P ...... <3 ........:* ........ :D .....:-/ ...... :'( ... :(",5,5,1,6
"well, we're in the hospital. my poor baby has had two spinal taps. we still dont know whats wrong....",3,1,2,3
is asking...can you keep a secret and never say it again?,5,5,2,3
There's been something on my mind for a while now....,5,5,2,3
Playin' Battlefield Bad Company 2.. awesome game,6,6,3,2
thanks to everbody that wished me a happy birthday today! @ <PERSON> : I'm lucky enough to avoid a Ms. Fry impromptu song :P,6,7,5,5
off to work F.B. see you all later.,5,5,2,1
"copy this to your status and see what people rate you! 1=crazy, 2=i'd marry you, 3=talkative, 4=sarcastic, 5=i miss you, 6=goofy, 7=moody, 8=dumb, 9=mouthy, 10=spoilt, 11=random, 12=hot, 13=funny, 14=fit, 15=amazing, 16=tough, 17=cute, 18=gf/bf type, 19=player, 20=i love you, 21=gorgeous, 22=the best , 23=cool, 24=sweet, 25=intriguing",5,5,1,4
"Realized at about midnight that I have the day off, now what to do with it....",5,5,1,2
Wow it friday...hope everone has a good weekend...have and be safe...:),7,7,3,3
Gym time...then I need to fix my mohawk....hair on the sides is getting a little to long...just have to find the electric razor.,5,5,2,2
"ughh, crazy..i need some starbucks.. STAT!",5,4,6,4
broncos are getting raped. by the raiders?,4,3,4,2
17 hours of work on friday... who wouldnt love to be me tomarrow hahaa,4,4,4,2
S-M-I-L-E  Ã¢â„¢Â¥ Ã¢â„¢Â¥ i wanna go out and play! Ã¢â„¢Â¥,6,6,6,5
is slowly going loony,4,4,2,1
wants to thank everyone who have wished her a happy bday...and the ones that txtd...and the ones that even thought about me today...love ya all!,6,8,5,3
Family wax dayy,5,5,2,1
Ive finally realized that my babies (monster)mom is someone I don't even want to be around she has become a stranger to me I'm beginning to hate her,3,1,3,1
helloXD,6,6,4,4
BIRTHDAYYY!! <3,7,8,7,8
Life's better bein' a pirate.,5,5,2,1
He is a bottomless pit! He can't spend the rest of Americas money fast enough! Even knowing we are broke. Who is he?,4,3,4,5
Im tired of it .,4,4,2,1
"PRAYER ALERT!! For a FB friend's daughter AUDRIN KING. Hold the family up in prayer today. Her 2 year old daughter was just diagnosed with Stage 4 cancer. If you see this post, even if you dont know her, God knows... Please post to your profile for 1 hour and say a prayer for the little girl and God Bless you for doing it! (How could any mom NOT repost?) PRAY, please!!!!",6,6,7,6
Thanks all for remembering my birthday!(:,7,7,6,5
me hang-over!!!!!!,5,4,7,8
Thinking about plans for Sunday...,5,5,2,2
I know i`m not perfect but i`m so close it scares me..:),6,7,3,2
check out the vid below :),6,6,2,1
Thanks everone for wishing me happy bday. Well I am going to go out this weekend to let lose. bad day at work,6,4,4,1
I am my sisters keeper.,5,5,1,1
You can make what you don't understand mean anything.,6,5,2,1
"Two may talk together under the same roof for many years, yet never really meet; and two others at first speech are old friends",5,5,2,1
Is going to 2sea for 2 days with his big brother any 1 need anything from there ?,5,5,2,1
time for new scientist and chips b4 i head to manc i think,5,5,2,1
Already tired. Been quite the strenuous day,4,4,2,3
It's really been a great summer so far and Ive been to the beach for a week and it feels so good to be sitting at a computer!!!!!! Thank you GOOOOOODDDDDD. What would we do with out phones or computers???? We would be at home and just sitting there. I cou,6,7,8,8
getting ready for a day out with my boys! Astro Boy then pizza :-),6,7,6,4
is experiencing the moment where you've read pages and have no idea what you just read. :(,4,3,3,1
Raiders extend Richard Seymour 2yrs/30mil! Now we can franchise Zach Miller! YES!!!!!!!!!! NOW RESIGN NNAMDI!!!!!!!,6,7,8,9
<PERSON> been talking to Zac Efron on her banana phone for the last 20 minutes.  They're fighting... again.  He's such a tool.  I miss the days when her imaginary boyfriend was Ping from Mulan.,4,5,2,1
"Hey guys do you remember Sunday Basket\ well it's back in the Croisee in the form of \""JAPS\""!!!\""""",5,6,6,7
Stupid computer still isn't fixed. Text me @ <PHONE>Hopefully it will be working by this weekend.,4,4,2,1
@ home...just chillin...I needed to come home...,6,5,2,3
PREDATORS.,5,5,5,1
"its all fire and brimstone baby, so lets go outside, whatcha know bout the ways on the underside...???<3",5,6,3,4
"if i know what love is,it is because of you....",6,8,2,3
"Mexican food is good. 	Mmm, chimichanga.",7,6,2,2
"modern warfare 2, I will have it soon!",6,6,6,4
"had a fun time at the corn maze tonight, and glad to not have spent his Sat. night at time.",6,6,2,1
So...who wants what for Xmas now that Turkey day is over?,5,5,2,1
"is getting sick of explaining her hair, her summer, and her fear of driving over and over. on the bright side, her love life has only been prodded at once in the two hours shes been there",5,3,3,3
"good night, i hate you all, especially you.",3,1,2,5
"Confront the dark parts of yourself, and work to banish them with illumination and forgiveness. Your willingness to wrestle with your demons will cause your angels to sing. Use the pain as fuel, as a reminder of your strength.Ã¢â‚¬Â",7,7,2,1
Remember to VOTE. 06/08/2010,5,5,1,3
"The Lord will conquer your enemies when they attack you.  They will attack you from one direction, but they will scatter from you in seven!  Deuteronomy 28:7",6,6,1,4
trying my best to finish the book and send it off to the publisher.  Wish me luck all.,6,5,2,1
O mi wrd!!!! am sooooo tired from job-shadowin! Da KFM studio is kick-ass! Luv da grafitti wall,5,8,5,7
every obsticle making possible possible even when winning is ilogical losers still far from optional,5,5,2,1
thanks to everyone for the birthday wishes,6,6,3,1
"So, I should specify, I am NOT alone. <PERSON> did travel with me.  I was just so absorbed in my own self pity, I forgot to mention he wasn't too thrilled either.  But, the luggage has been found, it is on its way and I am going to take a nice long bath and drown my sorrows in it!  Ooh and they have some good smelling shampoo and stuff!  I am psyched!",6,7,5,5
firstlove now published..! pki abangan on BoOksie web.. hope you like it!,6,6,5,4
"what a great day i had today. found out my raise took into effect for fridays paycheck. won the check pool for $176. had a great cake class and made a wonderful cake. and i think i am getting the hang of my new job at work. not too shabby! oh and josh is burning wood and dring beer friday night, he said whoever wants to stop by is more than welcome just bring your drinkage and let me know if you need directions!",7,9,4,4
I'm so glad this week is over! can't wait till Sunday!,6,7,6,5
LOVE IS THE LAW!!!,5,8,8,9
i just ran a bunch. it was so fun,6,6,3,1
"Rest in peace Grannie, you'll forever be loved and missed.",6,7,2,1
Why was the washing machine laughing? Because it was taking the piss out the underpants.,5,5,3,1
enjoyed the CWG opening ceremony: colourful and diverse. and mercifully showcasing india's culture without bollywood!,7,6,5,4
Is there such a thing as earlobe cancer?,5,5,2,1
I like your hips,6,6,1,1
"The presence of a friend is a coversation itself\\""""",6,5,1,1
"97% of teens would cry if they saw Robert Patterson (Edward Cullen from Twilight\) standing on top of a sky scraper about to jump. If you're one of the 3% that would sit there""",4,3,1,3
GOD IS NOT A MAN THAT HE WOULD LIE. HIS WORDS MUST COME TO PASS IN OUR LIFES. IT IS WELL HALLELUYA!!!,6,8,8,9
did i mention how much i hate homework at home,4,3,2,3
"Hawkey team!!!Anyone want to watch the game , please contact me .I'll join you!!!",6,7,6,7
Mmmm cinnabon cereal!!!,6,7,6,7
<PERSON> is going to <PERSON> house 2 c the boy in the striped pajamas. <PERSON> is coming with!,5,6,5,4
A little worried- <PERSON> is up in Big Bear I keep trying to call but have been able to reach him.  I am currently tracking the weather and am worried out of my mind.,4,2,3,5
"99 cent beer for happy hour at gyu-kaku is the shit ,-D",7,6,4,3
I wish they would show the cheerleaders more between plays...,5,5,2,3
<PERSON> burnt the rice.  Sipsie liked it though!,5,6,4,3
ah i love steve nash!,6,6,5,4
Hope I'm Having a girl this time!!!!,6,6,7,7
anyone know a reputable independant communittie or thougth of what i should do?,5,5,3,1
"Angle of god,  my guardian dear,  To whom God's love commits me here, 	Ever this day be at my side, To light and guard, to rule and guide.  	Amen.",6,5,1,1
"Getting over painful experience is much Like crossiiing monkey bars. you have to let go at some point in order to move forward.\ :) --TARAAAAAYYY!\""""",6,7,5,7
not to sure if i like facebook,5,4,2,1
About to go run on this beautiful day then working with the tiny babies tonight :),7,8,3,1
"Okay, now the dog is bugging out. He must be bored as hell cuz now he's playing fetch wit a shitty diaper. LMAO What happened to the stick?!",6,5,6,5
"Had Greek food today, it was great",7,6,2,1
is watching her husband zoom pass the window on a small pink quad bike,5,5,1,3
Actually getting engineering..,6,6,1,1
hey i got accepted into edinboro...it is awwssoommee!!!! im excited,7,7,8,6
"is excited to get away for the weekend with <PERSON>, <PERSON>, <PERSON>, and <PERSON>.",6,6,4,1
is annoyed at her stupid neighbors for practicing piano @ 10 o'clock!!! go 2 sleep u freaks!,3,2,6,6
My band just put up some demos of some of our songs so im really exited. The ony thing is its just guitar cuz i have like 20 hours of school and 50 hours of hw and now i get to go to work yay!,6,6,6,4
that damn sad cows won't go away!!!,4,5,7,7
Non-dairy creamer is flammable.,5,5,1,1
Game at 3 a clock tommorow have to be there at 830 because of brothers game :[,4,4,3,2
is starting to get obsessed with heavy metal concerts.,5,5,2,1
had a blast at Flirty Girl Fitness!,6,7,6,4
Has decided that her new friend has it out for her. I think she wants to kill me!!,4,3,7,5
well yay stupid at&t broke my internet =/,4,4,3,3
knows I've done well when I terrify people on my husband's page.....I will sleep well tonight :),5,6,3,3
is thankful for all the birthday love. 30 has been pretty good to me. I had agreat b-day!,7,8,5,4
"Well, today was a pretty crappy day at school. But then I shared some laughs with my best friend. :D",5,6,4,3
wondering which of the 4 movies I hire to watch first        1. The New Daughter (Thriller) - Kevin Costner        2. Crazy Heart (Drama) - Jeff Bridges & Maggie Gyllenhaal        3. The Bounty Hunter (Action) - Jennifer Aniston & Gerard Butler        4. Cirque Du Freak: The Vamipire's Assistant (Family) - Willem Dafoe & Salma Hayek,5,5,1,1
done with everyones games!!!!!!!!,4,3,9,9
i feel invisibe. ugh fml!,2,2,6,5
had an usual day and night with <PERSON>,5,5,2,1
I had a great day with <PERSON>and family today!,6,7,5,4
no rain - no rainbow.,5,6,1,1
Christ on a bike... when will this cold go away?!?!,4,3,6,7
is addicted to Dragon Age.,5,5,1,1
"on 2nd july,2009...gayism was legalised by HC...was it intended 2 b ma b'day present frm HC...gosh..it took me sooo long 2 realize dis..:P",5,5,3,3
"OMG, I was just singing along to Taylor Swift. What is WRONG with me?!?!",4,5,7,8
College Night is Tonight @ Cabanas!! $1 kamikazes and $2 well!! Plus live performances from Schofield!! Let's get crazy!!,6,6,7,7
Experience is simply the name we give our mistakes.,5,5,2,1
wishes she was going to North Carolina with her gorgeous sisters<PERSON> and <PERSON>.,5,5,2,1
Tengen Toppa Gurren Lagann... it will make any day better,5,6,2,1
"<PERSON>of KLBJ radio here in Austin took time out of his busy schedule to try and help me find a donor using facebook and the radio. I think thats bad ass. Thanks so much, <PERSON>.",7,7,3,3
A Lonely September Ã¢â„¢Âª,5,4,1,1
So that was fun.....,5,6,1,3
"It is for the best consideration of that child.  If the couple were seperated, then he/she would be saddened that the father/mother might not be around as much as they are needed.  This is bad for the child.  Most of the times when miscarriages are reported, the couples are not married.  Again this isn't bad, but God has a purpose for you in life, and that could be His way of telling you to reconsider your choices.",6,4,2,3
"haha, im so sure this is gunna be a great year! gunna have FUNN!!!!",6,8,7,8
I hate getting the stomach flu i would rather have a severe cold for a week,3,4,2,1
thank you,6,5,1,1
OOO! OOO! OOO! OOO! Come On! <URL>,5,5,6,8
"Thanks everyone for the comments and i had a great day today, even though i had to go to work lol",7,7,5,1
<URL>,5,5,1,1
hates the Lakers. Hates.,3,3,2,3
"Ã¢â‚¬Å“With a full glass and an empty heart, I search for something to occupy my mindÃ¢â‚¬Â",5,3,2,1
"Tupac might be gone bah he will always be alive in me and everyone out der who has feelins fa G! I rest my case,and say that he was and still remains a true soldier up der in da ghetto heaven",5,6,2,4
the boring life is back :( ...,3,3,2,3
ok this is big for mi. its been one week since i smoked a cig. im so happy for myself. plus  i walked 2 miles today . gotta walk 2 more tonite,8,8,3,3
"Okey dokey, time to scan this newspaper of mine...",5,5,2,2
sometimes people put up walls,5,4,1,1
Happy thanksgiving to all my fb friends and family !,7,6,6,4
"Was doing course evaluations for MedSoc and came up the question Instructor maintained positive environment in class\ - very nice timing for the video\""""",5,5,2,1
"Nevr criticize ur bf's faults,rembr it may hv been these litle imperfections dat stoped him frm geting a beter gf....",5,6,2,1
Just wanna curl up in a ball to sleep and hope when I wake up ill magically feel a hundred percent,5,4,2,1
flying back to bangkok for a shoot...,5,5,1,1
:) haha thank youss,6,7,4,3
Merry Christmas!!!,6,6,6,6
loves her favorite roomy <PERSON>,7,6,2,1
"<PERSON>broke her leg,oops she won't want to do that again!!!!!!!!!!",3,4,8,9
does anyone know the secret to happiness and peace?  because i sure as hell dont.,4,4,2,3
what a beautiful tuesday morning...y duty...weeee :D,7,7,4,4
Varsity Athlete,5,5,1,1
"FACEBOOK TRICK: press up,up, down, down, left, right, left, right, B, A, Enter key, then left click and magic crcles will appear. the only way to get rid of them are to log off or refresh the page...IT WILL WORK! put this as your status if it works. <-- freaked me out so bad. :O",5,5,4,5
What's on your mind?,5,5,1,1
people on my wall  if you read this please name your favourite tractor,5,5,1,1
severe anger,3,1,2,3
bed time nite world,5,5,1,1
"JUST GOT LAID OFF AND NEED TO FIND SOME WORK, WHAT A NEW YEAR",4,1,5,8
"If you dont like the new FB, here is how you can change it back to the old. Look to the top left menu and click on MORE. Then drag STATUS UPDATES to the top. After dragging to top, click on it. That becomes your default and it is like before. Pass it on",5,5,2,1
"Thanx everyone, rite now i'm with <PERSON>, <PERSON>, and <PERSON>",6,5,2,1
Thanks for all the happy birthdays!!!!!!!!!  :),7,8,7,9
Go WV!,6,6,6,5
"Is there some kind of tutorial for Facebook?  If so, will someone please send it to my Grandma?  She needs a little extra help. (Just kidding, g-ma-Chris and I will keep helping you.)",5,5,4,2
"ever learn something you really wish you didnt, nvm",4,5,3,3
.You think the only people who are people are the people who look and think like you.,4,4,2,3
SICK AGAIN !!!! HATE IT !!!!!,3,2,8,9
thanks for all the birthday wishes yall!!...... srry im alil late on the thank u's!,6,7,6,7
Bmx starts next week.,5,5,1,1
Its finally FRIDAY!!!!!!!,6,7,7,8
I DID NOT WANT SNOW AS A BIRTHDAY GIFT TODAY...... I WANTED A PONY......,4,3,5,7
what kind of bees make milk...,5,5,2,1
homework SUX!!!! WHY DO TEACHERS TOURCHER US THIS WAY?!?!?!?!?!?!,4,1,8,9
Through god all things are possible........ yet our greatest treasure....... most turn away....... they turn away gods love....... i say that we have a purpose and that through god we can accomplish it........... dont turn away from the savior........ he will make like good....... peaceful......... as the world hated him they will hate us as christains.......... i speak for my self that when he calls my name,5,5,2,3
I NEED A JOB!!!! anyone know of anything?,5,4,6,8
Happy Birthday Taylor. I love you.,7,7,2,1
Zzz... SOOOOOO tired... Having 3 camps in 1 week... I think no need to workout liao...,4,5,3,3
i really need a house cleaner this is a disaster!!!!!!!!!,4,3,8,8
falling asleep to my country music <3 good night!,6,7,3,5
I'm selfish,4,4,1,1
"All night with <PERSON> and <PERSON> at <PERSON> to see Combichrist.  FUCK I LOVED THE SHOW.  Absolutely need to pass out, long work week + six hour concert = TIRED AS SHIT",5,7,5,6
manu sailing smoothly :),6,7,3,3
"hot, scared, nd a lil sweaty.  all in all it was a good day.",6,6,2,1
"Saturday-work, mani and pedi, long bike ride with <PERSON>-<PERSON>-<PERSON>-<PERSON>-<PERSON>, b-day pary at 4, b-day party at 6.  So much fun. Sunday-Laundry,cleaning,Colts game, and bike ride. What a fun and busy weekend.",6,8,2,1
"I'm stronger because of my hard times, wiser because of my mistakes, happier because of my sad experiences, and smarter because of my moments of confusion",7,7,2,1
i'm happy and sad at the same time... di kaya nababaliw na ko? ^^,5,5,2,3
don't you hate it when you want nothing to do with someone and they just keep coming back no matter what you do? It drives me crazy!! Will they ever get the hint.,4,3,7,5
hi everyone i have nothing to say so i will say hi everyone,5,5,3,1
is wondering if I will ever get a job.....seriously.,4,4,1,3
"I've got a soul that cannot sleep\ ! :D\""""",6,6,5,4
Tired of <PERSON> saying I look like a asian lol :'D,5,6,4,4
"just got home, had a fun time running today",6,6,2,1
"Success without a positive attitude is called Luck, but Success with positive attitude is called Achievement 	All we need is positive attitude.",8,6,3,1
"If you died today, who would be taking care of the arrangements and would he or she be paying for it...that is what is on my mind.  Due to my new profession, I am currently welcoming any and all death jokes (okay, maybe not all, I would rather not have my",5,5,2,1
is bored and many going to start her science project,5,4,1,1
"had a great time at the wedding! Yankees up 2-0, big game tonight i'm nervous as hell! i wanna spank that damn rally monkey tonight!",6,7,6,5
can't wait for thanksgiving and also to see what my daughter thinks of all the lights and decorations of christmas!! she will also be 7 months old!!,6,7,7,5
Sigh.....,5,4,1,2
I am drunk lmao XD and Happy almost st Paddy's day in Cali... like 12 minutes till then :P,6,7,4,4
"... chocolate peanutbutter ice cream, yes please!! ...",6,6,5,5
Man it been a long time since i posted sum n on hear but im to happy i got two mo weeks before i welcum my baby gurl n to dis world im ready n spongebob voice lol,6,8,4,1
We begin from the recognition that all beings cherish happiness and do not want suffering. It then becomes both morally wrong and pragmatically unwise to pursue only one's own happiness oblivious to the feelings and aspirations of all others who surround us as members of the same human family. The wiser course is to think of others when pursuing our own happiness.,5,6,2,1
yeah:) i totally did. tired of being lonely... so very tired,6,5,2,3
being cooked in this heat,4,4,1,3
im finally here. after 5 long days,6,5,4,1
"Wow, I haven't been on here for a while. Thank you everyone for the Happy B-Day congrates\. ^-^\""""",7,5,4,1
I love this music video!!! <URL>,6,6,7,6
"No work today, Lucky me :)",6,7,2,1
"Name:___________ Age:________Birthday:___________Eye color:_________ Nickname:___________ Favorite color:___________ Favorite Drink:________ My best friend:________Post this to your wall and see who all comments,and who knows you best",5,5,1,1
Going to play football in a little bit!,6,5,4,1
Bama going to kick some ass,5,5,4,2
today is the 12th anniversary of James proposing to me on the beach near san diego... :o)  So happy he asked!!  <3,7,8,5,5
"You make my heart skip beats, you make me nervous before I see you, you make me feel so alive when I'm with you, I still get butterflies when we kiss and I love it all. I love you <PERSON> =)",7,9,4,1
"Day 4 menu: Sausage , egg and CHEESE biscuit, lunch: bacon and CHEESE burger, snack: Hashbrowns with CHEESE.........Day 5 idk!   I'm starting to get the bubble guts.....my stomach is doing strange stuff.....lol",5,4,3,3
Sleepy,5,5,1,1
Just saw this chinese dude get off the metro with chinese food in his hand...and was about to go make a delivery LMAO....he was all in a hurry dwl,5,6,3,1
"loving myself is simple, but letting someone else love u is so hard.",4,4,2,1
"1 final down, 1 to go!",5,6,5,4
4 days til Indiana:),7,7,2,2
"back at home, and back to reality....",5,5,1,2
there is a fine thin line between wrong and right.,5,5,2,1
has anyone taken the history finals?,5,5,1,1
Happy Thanksgiving,7,5,2,1
<PERSON> u have issuse lmao,5,6,3,2
this is how you remind me,5,5,1,1
It smells delicious outside... like breakfast..,6,6,2,1
down in MD in my sis.. with a big cockatoo on my hand.. while typing.. had a great day with our cousin.. wish I never had to go back to work.. dreams.. dreams.. oh and we got<PERSON>.. yippe!,7,7,5,3
drama...drama...and more drama....I am done!,4,4,6,5
"Ughhh, I wish I could stop coughing already! Being sick is horrribllleee. About to watch some television with<PERSON> then falll asleeepp. :) <3",4,7,3,4
Ind Vs Srilanka - A Thrilling match in progress....India need 65 ..5 wickets in hand..,5,5,3,2
needs a lobotomy!,4,5,6,4
"In the land of the blinds, One eye man is a king.",5,5,1,1
had my gps for less than a day and I already broke it. Good thing Garmin is nice and going to send me a brand new one.,6,5,2,1
Do you ever feel like you have a lot of people in your life but very few who understand you?,4,4,2,2
had forgotten how much fun the kids are - especially in PE! I am exhausted!!,6,6,7,5
DONE,5,5,4,5
i laugh again why the fuck was i upset in the first place i wasnt even shocked wow im so over that :) i am very happy today it was just ordinary day again,6,8,3,3
"Ã¢â€¢â€Ã¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢Â Ã Â³â€¹Ã¡Æ’Â¦Ã¢ËœÆ’Ã¡Æ’Â¦Ã Â³â€¹ Ã¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢â€”	It's Sons Week! If you have a beautiful son or sons that you	love more than you can describe, copy and paste this to your	status for a little while, but hold them in your heart for a lifetime	Ã¢â€¢Å¡Ã¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢Â Ã Â³â€¹Ã¡Æ’Â¦Ã¢ËœÆ’Ã¡Æ’Â¦Ã Â³â€¹ Ã¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢ÂÃ¢â€¢Â",6,7,4,4
Today has to be the most boring day of this entire summer hands down. :/,4,3,2,4
hi,5,5,1,1
Homework,5,5,1,1
I'm so having the case of the Mondays. 5 am is toooo f'in early.,4,4,3,3
Happy Happy Happy !!!!,7,9,7,7
Time to go shovel the snow.,5,5,2,1
"It's 4am, I'm been up for more than 24hrs and I still can't sleep :(  Insomnia sucks.",3,3,2,3
Wow the AFC SUCKS PROBOWL SUCKS THIS YEAR,4,3,4,6
Having fun in India!,6,7,5,4
Relationships are like glass. Sometimes it is better to leave them broken than try to hurt yourself putting it back together......:),5,6,3,2
It's all gone! :-{,4,4,5,4
i love farmville  pero nakakapagod din ang mgtnim at mghrvest..hehehe,6,6,3,2
Partey!!! <3,6,7,7,6
uhhh! this homework! its killing me.,4,3,5,5
Thanks so much for the birthday wishes everyone!!,7,6,6,5
I hope I get my voice back before saturday.,5,5,2,1
"I am perfectly imperfect, beautiful in my flaws, sure of my insecurities, absolute chaos..a beautiful disaster",5,7,2,3
of course not! youre brain washed!,5,4,5,5
school is so boring is it to early to want it to be spring break,4,4,2,1
"Miss <PERSON> (as I hand out the new spelling lists): Don't lose your spelling lists because there are no more copies of these bad boys.\  Class (whispers and head bobbing): \""Bad boys""",5,5,2,1
I'd very much like some peach pie or peach cheesecake right now.  Somebody make this happen plz.,5,5,2,1
I really wanted chicken and brown beans.,5,5,2,1
Common tests are 0000vvverrrrrrrr :DDDDDDD,6,8,4,7
Almost feeling better!! damit hurry up already with this cold!!! so I can drink this weekend!!,6,6,5,7
Examining oral cavity anatomy tomorrow (only after cutting a head in half). Bring it on!,5,5,4,4
thinking about going blonde.. hmm needs a bloody job,5,5,2,2
Eating with the famz...,5,5,1,2
Thanks for all the birthday wishes. It was a great one.,7,7,2,1
Gonna clean out my car today... maybe they will take it as a trade in later this week.. maybe not,5,5,1,1
"in brawl the two excuses my brother uses after he loses is im not even trying\ and \""you got lucky\"".\""""",5,4,2,1
3hrs  2 go n then im 14,5,5,1,1
think am falling in love with Mauritius ...and its cultural diversity..,5,6,1,3
Thanks for all my birthday messages. Im pretty bummed out that I'm closer to 30 than I am 20. I shall try to rid myself of that thought by drinking my body weight in frozen margeritas.....and thats a lot of margaritas!,6,4,4,4
is looking forward to great weather & some waves for wednesday,6,7,2,1
"when you got nothin', you got nothin' to lose.",6,5,2,1
why do ppl continue to complain about situations that they created themselves...u chose to be with this man/woman and u chose to have children so deal with the consequences,5,3,2,3
Checking my salad for messages,5,5,1,1
"can't sleep, again.",4,4,1,1
">,-[)",5,6,1,4
Ã¢â„¢Â«i'm doing this for me so **** the whole universe!Ã¢â„¢Â« :),4,7,4,5
SOUTHERN HOSPITALITY! AIN'T NOTHING LIKE IT! EXCEPT NO SUBSTITUTES! LIVE AND LOVE IT!,6,8,8,9
is doing great.... lol. If I had learned this stuff when I was supposed to I guess I wouldn't have to cram right now. Oh well. There's always next year... or grade 12.,5,4,4,2
"hey guys, just got bak on my first day of skiin",5,5,3,1
